,subject_id,task,condition,target,response,PROLIFIC_PID
7,43,TMaze,"[45.00000000000001,105.00000000000001]",R,f,5fd8a13aaf5bd723a0e0e3fa
8,43,TMaze,"[60,90.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
9,43,TMaze,"[60,90.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
10,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
11,43,TMaze,"[45.00000000000001,105.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
12,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
13,43,TMaze,"[60,90.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
14,43,TMaze,"[60,90.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
15,43,TMaze,"[75,75]",L,f,5fd8a13aaf5bd723a0e0e3fa
16,43,TMaze,"[75,75]",R,f,5fd8a13aaf5bd723a0e0e3fa
17,43,TMaze,"[75,75]",L,j,5fd8a13aaf5bd723a0e0e3fa
18,43,TMaze,"[45.00000000000001,105.00000000000001]",R,f,5fd8a13aaf5bd723a0e0e3fa
19,43,TMaze,"[60,90.00000000000001]",R,f,5fd8a13aaf5bd723a0e0e3fa
20,43,TMaze,"[75,75]",L,f,5fd8a13aaf5bd723a0e0e3fa
21,43,TMaze,"[60,90.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
22,43,TMaze,"[75,75]",L,j,5fd8a13aaf5bd723a0e0e3fa
23,43,TMaze,"[75,75]",R,f,5fd8a13aaf5bd723a0e0e3fa
24,43,TMaze,"[75,75]",L,j,5fd8a13aaf5bd723a0e0e3fa
25,43,TMaze,"[60,90.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
26,43,TMaze,"[75,75]",L,j,5fd8a13aaf5bd723a0e0e3fa
27,43,TMaze,"[45.00000000000001,105.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
28,43,TMaze,"[60,90.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
29,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
30,43,TMaze,"[60,90.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
31,43,TMaze,"[75,75]",L,j,5fd8a13aaf5bd723a0e0e3fa
32,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
33,43,TMaze,"[75,75]",R,f,5fd8a13aaf5bd723a0e0e3fa
34,43,TMaze,"[60,90.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
35,43,TMaze,"[45.00000000000001,105.00000000000001]",R,f,5fd8a13aaf5bd723a0e0e3fa
36,43,TMaze,"[45.00000000000001,105.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
37,43,TMaze,"[75,75]",R,f,5fd8a13aaf5bd723a0e0e3fa
38,43,TMaze,"[45.00000000000001,105.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
39,43,TMaze,"[75,75]",R,j,5fd8a13aaf5bd723a0e0e3fa
40,43,TMaze,"[60,90.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
41,43,TMaze,"[75,75]",L,j,5fd8a13aaf5bd723a0e0e3fa
42,43,TMaze,"[75,75]",L,f,5fd8a13aaf5bd723a0e0e3fa
43,43,TMaze,"[60,90.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
44,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
45,43,TMaze,"[45.00000000000001,105.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
46,43,TMaze,"[45.00000000000001,105.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
47,43,TMaze,"[45.00000000000001,105.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
48,43,TMaze,"[75,75]",L,f,5fd8a13aaf5bd723a0e0e3fa
49,43,TMaze,"[60,90.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
50,43,TMaze,"[60,90.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
51,43,TMaze,"[60,90.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
